age,risk
18,1.42e-14
34,1.42e-14
37,1.42e-14
38,1.42e-14
39,1.42e-14
40,0.232828871
42,0.232828871
43,0.232828871
45,0.349243306
46,0.349243306
48,0.504462553666667
49,0.654437906864865
50,0.81024447056
51,0.881244758268817
52,1.03254542734783
53,1.13750715277119
54,1.34708132385714
55,1.63529334198113
56,1.74511828160377
57,1.96274738096
58,2.25656910010714
59,2.41030796902273
60,2.793946449
61,3.02677532
62,3.40861466808
63,3.78653268778947
64,4.22487388420833
65,4.6638533181875
66,5.13154831188
67,5.63963264788889
68,6.1233993016
69,6.61622041116667
70,7.18859138525
71,7.78138594442105
72,8.311990687
73,8.88630190166667
74,9.45543914144445
75,10.0422768189474
76,10.9364894611111
77,11.8313828794737
78,12.3678696156
79,12.9955272331579
80,13.62048894
