age,risk
29,0.544662309
30,0.762527233
31,0.871459695
32,0.980392157
33,1.307189542
34,1.307189542
35,1.73301643890909
36,2.287581699
37,2.505446623
38,3.04103122691667
39,3.44622697563636
40,4.139433551
41,4.793028322
42,5.46642899618182
43,6.30817983790909
44,6.99148346218181
45,8.1263616562
46,9.259259259
47,10.5664488
48,11.52868555
49,12.87218591
50,14.54248366
51,16.4983164945455
52,17.7801985033333
53,19.2612398481818
54,20.15250545
55,21.5884333518182
56,22.6480491190909
57,23.6482471809091
58,24.4969883364706
59,25.16339869
60,25.59912854
61,25.8566052672727
62,26.25272331
63,26.8166089952941
64,27.23311547
65,27.77777778
66,27.9956427
67,28.54030501
68,28.9463260072727
69,29.30283224
70,29.84749455
71,30.33769063
72,30.6595365445455
73,30.95497458
74,31.37254902
75,31.80827887
76,32.2712418275
77,32.67973856
78,33.00653595
79,33.4422658
