age,risk
20,0
21,0
22,0
23,0
25,0
27,0.108932462
28,0.310777906294117
29,0.435729848
30,0.435729848
31,0.435729848
32,0.762527233
33,0.762527233
34,0.846949891049999
35,1.25835774913793
36,1.307189542
37,1.73165051462069
38,2.09339774578261
39,2.22748103031035
40,2.86855482966667
41,3.267973856
42,3.613716018
43,4.09457900782353
44,4.31190994916667
45,5.010893246
46,5.446623094
47,5.773420479
48,6.13982966936364
49,6.318082789
50,6.8899782135
51,7.189542484
52,7.625272331
53,7.952069717
54,8.278867102
55,8.72741253376471
56,9.259259259
57,10.13071895
58,10.45751634
59,11.11111111
60,11.76470588
61,12.5668449236364
62,13.07189542
63,13.6437908475
64,14.27015251
65,15.0425826909091
66,15.6664686081818
67,16.1604511105882
68,16.77559913
69,17.5282234090909
70,18.0891964617647
71,18.5482273727273
72,19.28104575
73,19.7167756
74,20.3960015370588
75,20.91503268
76,21.35076253
77,21.78649237
78,22.5589225609091
79,23.09368192
80,23.47494553
